124,1346
124,4398
124,9213
175,10098
326,23990
347,4362
347,4398
347,5510
347,22364
515,34692
515,34703
618,620
618,837
618,921
618,1266
618,1374
618,2049
618,2428
618,9213
618,12835
618,15222
618,16127
618,17035
618,17193
618,18403
618,21528
618,21945
618,23762
618,38147
618,38148
618,38149
618,38150
618,38151
618,38153
618,38154
618,38155
618,38156
618,38158
618,38159
618,38162
618,38164
618,38165
618,38166
618,38167
618,38168
618,38169
618,38170
618,38172
618,38174
618,38175
618,38176
618,38177
618,38178
618,38179
618,38180
619,620
619,916
619,1253
619,1266
619,1270
619,1374
619,2049
619,2428
619,4173
619,7200
619,12693
619,12835
619,16127
619,19166
619,21592
619,21961
619,34692
619,38150
619,38164
619,38167
619,38172
619,38178
619,38182
619,38191
619,38195
619,38196
620,618
620,619
620,837
620,925
620,970
620,1266
620,1341
620,2049
620,4173
620,12693
620,12835
620,15222
620,15991
620,18020
620,38147
620,38150
620,38164
620,38167
620,38177
620,38182
620,38198
620,38199
629,921
629,1266
629,4173
629,4495
629,15222
629,38172
629,38198
629,38199
632,7487
632,38599
632,38602
632,38604
632,38610
632,38611
632,38613
650,21653
650,39025
650,39026
650,39028
650,39029
650,39030
650,39031
685,1245
685,17585
685,17704
685,18047
685,19161
685,30699
685,39419
685,39420
685,39421
685,39422
685,39424
685,39426
685,39427
685,39428
685,39430
685,39432
685,39433
712,776
712,15216
712,39773
776,712
776,879
776,12694
776,20529
837,618
837,620
837,921
837,925
837,970
837,1341
837,2049
837,2187
837,2428
837,3564
837,5970
837,5990
837,5992
837,7174
837,7200
837,9213
837,11684
837,12835
837,15163
837,16127
837,16995
837,21945
837,27051
837,29210
837,31045
837,34692
837,34703
837,38151
837,38155
837,38167
837,38172
837,38174
837,38176
837,38195
837,38198
837,38199
837,40135
837,40338
837,40420
837,40451
837,40747
837,40813
837,40814
837,41266
837,41267
837,41270
837,41272
837,41273
837,41274
837,41275
837,41276
837,41277
837,41279
837,41280
837,41284
837,41285
837,41286
837,41288
837,41289
837,41290
837,41293
837,41295
837,41297
837,41301
837,41307
837,41310
837,41313
837,41314
837,41323
837,41324
837,41326
837,41327
837,41331
837,41332
837,41336
837,41337
837,41339
837,41342
837,42898
866,5908
866,41828
879,776
879,3459
879,3460
879,40328
879,41275
887,30350
887,42048
891,1331
891,36996
891,42136
891,42139
891,42141
891,42142
891,42143
891,42144
892,42145
916,619
916,921
916,1346
916,2049
